// 2012 HSK/Level 1
爱	ai4
在我看来,你错了。	zai4 wo3 kan4 lai2, ni3 cuo4le5。	From my perspective, you're wrong. 
我们应该看看能做些什么。	wo3men5 ying1gai1 kan4kan5 neng2 zuo4 xie1 shen2me5。	We must see what can be done. 
我走的时候看见他了。	wo3 zou3 de5 shi2hou5 kan4jian4 ta1 le5。	I saw him as I was leaving. 
我刚才看见你了。	wo3 gang1cai2 kan4jian4 ni3 le5。	I saw you just now. 
你看错他了。	ni3 kan4cuo4 ta1 le5。	You're wrong about him. 
想不到在这里看见你。	xiang3bu5dao4 zai4 zhe4li5 kan4jian4 ni3。	Fancy seeing you here! 
贵得很, 要一百多块呢。	gui4 de5 hen3, yao4 yi1bai3 duo1 kuai4 ne5。	It's awfully expensive, over $100. 
差两块钱	cha1 liang3 kuai4 qian2	two yuán short 
这块地方不让进。	zhe4 kuai4 di4fang5 bu4 rang4 jin4。	This area is out of bounds. 
这块地是谁的?	zhe4 kuai4 di4 shi4 shui2 de5	Who does this plot of land belong to? 
他站了起来,然后走了出去。	ta1 zhan4 le5 qi3lai5, ran2hou4 zou3 le5 chu1qu5。	He got up and walked out. 
你先来,你在我前面。	ni3 xian1 lai2, ni3 zai4 wo3 qian2mian5。	Go ahead, you are before me. 
你从哪儿来?	ni3 cong2 na3r5 lai2	Where did you come from? 
来,坐我腿上。	lai2, zuo4 wo3 tui3 shang4。	Come sit on my lap. 
站起来!	zhan4 qi3lai5	Get up! 
她突然哭了起来。	ta1 tu1ran2 ku1 le5 qi3lai5。	She burst into tears. 
他还有脸来。	ta1 hai2 you3lian3 lai2。	He even has the cheek to show up. 
我学习的时候不喜欢有人来。	wo3 xue2xi2 de5 shi2hou5 bu4 xi3huan5 you3ren2 lai2。	When I'm studying, I don't like to have visitors. 
太阳出来了。	tai4yang5 chu1lai5 le5。	The sun has come out. 
万一明天下雨我就不来了。	wan4yi1 ming2tian1 xia4 yu3 wo3 jiu4 bu4 lai2 le5。	Should it rain tomorrow, I won't come. 
你能把你说的写下来吗?	ni3 neng2 ba3 ni3 shuo1 de5 xie3 xia4lai5 ma5	Can you put what you said in writing? 
你能来吗?	ni3 neng2 lai2 ma5	Are you able to come? 
过来坐在我旁边。	guo4lai5 zuo4 zai4 wo3 pang2bian1。	Come sit beside me. 
后来怎么了?	hou4lai2 zen3me5le5	Then what happened ? 
我来找你帮忙。	wo3 lai2 zhao3 ni3 bang1mang2。	I've come to seek your help. 
你能来机场接我吗?	ni3 neng2 lai2 ji1chang3 jie1 wo3 ma5	Could you come and meet me at the airport? 
我们明天来解决这个问题。	wo3men5 ming2tian1 lai2 jie3jue2 zhe4ge5 wen4ti2。	We'll begin working on this problem tomorrow. 
让我来试试解决这个问题。	rang4 wo3 lai2 shi4shi4 jie3jue2 zhe4ge5 wen4ti2。	Let me have a go at solving this problem. 
对我来说,这不是问题。	dui4 wo3 lai2 shuo1, zhe4 bu2shi5 wen4ti2。	As far as I'm concerned, this is not a problem. 
张老师	zhang1 lao3shi1	Teacher Zhang 
天气一冷	tian1qi4 yi1 leng3	as soon as the weather turns cold 
冷起来了。	leng3 qi3lai5 le5。	It's starting to get cold. 
牛奶在冰箱里。	niu2nai3 zai4 bing1xiang1 li3。	The milk is in the fridge. 
一百一十六	yi1bai3yi1 shi2liu4	one hundred sixteen 
五个的六个, 一共十一个。	wu3 ge4 de5 liu4 ge4, yi2gong4 shi2yi1 ge4。	Five plus six is eleven. 
他年近六十。	ta1nian2 jin4 liu4shi2。	He's close to 60 years old. 
我们六点下班。	wo3men5 liu4 dian3 xia4ban1。	We go off work at 6 o'clock. 
妈妈不让我去。	ma1ma5 bu4 rang4 wo3 qu4。	My mom won't let me go. 
妈妈很疼我。	ma1ma5 hen3 teng2 wo3。	My mother loves me dearly. 
我姓我妈妈的姓。	wo3 xing4 wo3 ma1 ma1 de5 xing4。	I take my mother's family name. 
这还得了(吗) ?	zhe4 hai2 de2le5( ma5)	Isn't it awful? 
要下雨了。你还要走吗?	yao4 xia4 yu3 le5。 ni3 hai2yao4 zou3 ma5	It's going to rain. Do you still want to go? 
除了这些, 还有吗?	chu2le5 zhe4xie1, hai2 you3 ma5	Are there still some left apart from these? 
我好进来吗?	wo3 hao3 jin4lai5 ma5	May I come in? 
你会吗?	ni3 hui4 ma5	Do you know how? 
你还记得我吗?	ni3 hai2 ji4de5 wo3 ma5	Do you still remember me? 
你喜欢教书吗?	ni3 xi3huan5 jiao1shu1 ma5	Do you like teaching? 
你近来身体好吗?	ni3 jin4lai2 shen1ti3 hao3 ma5	How's your health lately? 
这不就是你要的书吗?	zhe4 bu4 jiu4shi4 ni3 yao4 de5 shu1 ma5	Isn't this the book you want? 
你里里外外都检查过了吗?	ni3 li3li3wai4wai4 dou1 jian3cha2 guo4 le5 ma5	Did you check both the inside and the outside? 
你了解他吗?	ni3 liao3jie3 ta1 ma5	Do you know him well? 
我可以换些零钱吗?	wo3 ke3yi3 huan4 xie1 ling2qian2 ma5	Can I have some small change? 
水热吗?	shui3 re4 ma5	Is the water warm? 
我说错什么了吗?	wo3 shuo1cuo4 shen2me5 le5 ma5	What did I say wrong? 
你完成作业了吗?	ni3 wan2cheng2 zuo4ye4 le5 ma5	Have you finished your homework? 
这些水果洗过了吗?	zhe4xie1 shui3guo3 xi3 guo4 le5 ma5	Has the fruit been washed? 
你洗脸了吗?	ni3 xi3lian3 le5 ma5	Did you wash your face? 
你找到自行车了吗?	ni3 zhao3dao4 zi4xing2che1 le5 ma5	Have you found your bike? 
是真的吗?	shi4 zhen1 de5 ma5	Is it true? 
你准备好了吗?	ni3 zhun3bei4 hao3le5 ma5	Are you ready? 
你有地方住吗?	ni3 you3 di4fang5 zhu4 ma5	Have you got accommodation? 
你问问题了吗?	ni3 wen4 wen4ti2 le5 ma5	Did you ask any questions? 
你刷牙了吗?	ni3 shua1ya2 le5 ma5	Did you brush your teeth? 
这包衣服是你的吗?	zhe4 bao1 yi1fu5 shi4 ni3 de5 ma5	Is this bundle of clothes yours? 
你感冒了吗?	ni3 gan3mao4 le5 ma5	Have you caught cold? 
我能借用一下你的词典吗? 当然可以。	wo3 neng2 jie4yong4 yi2xia4 ni3 de5 ci2dian3 ma5 dang1ran2 ke3yi3。	Can I borrow your dictionary? ... Certainly. 
你有零钱吗?	ni3 you3 ling2qian2 ma5	Have you got any change? 
你喜欢这个颜色吗?	ni3 xi3huan5 zhe4ge5 yan2se5 ma5	Do you like this color? 
你不喜欢体育运动,对吗?	ni3 bu4 xi3huan5 ti3yu4 yun4dong4, dui4 ma5	You don't like sports, do you? 
你喜欢体育吗?	ni3 xi3huan5 ti3yu4 ma5	Do you like sports? 
他还说什么了吗?	ta1 hai2 shuo1 shen2me5 le5 ma5	Did he say anything else? 
你认识那个穿白衣服的女的吗?	ni3 ren4shi5 na4ge5 chuan1 bai2 yi1fu5 de5 nü3de5 ma5	Do you know that woman in white? 
我写的字清楚吗?	wo3 xie3 de5 zi4 qing1chu5 ma5	Is my handwriting legible? 
我可以问个问题吗?	wo3 ke3yi3 wen4 ge4 wen4ti2 ma5	May I ask a question? 
灯关了吗?	deng1 guan1 le5 ma5	Are the lights off? 
我能问个问题吗?	wo3 neng2 wen4 ge4 wen4ti2 ma5	May I pose a question? 
你真是那个意思吗?	ni3 zhen1shi5 na4ge5 yi4si5 ma5	Do you really mean that? 
他结婚了吗?	ta1 jie2hun1 le5 ma5	Is he married or single? 
我出错了吗?	wo3 chu1cuo4 le5 ma5	Did I make a slip? 
还有地方再放一张桌子吗?	hai2 you3 di4fang5 zai4 fang4 yi1 zhang1 zhuo1zi5 ma5	Is there enough space for another desk? 
你疼吗?	ni3 teng2 ma5	Are you suffering any pain? 
那个故事是真的吗?	na4ge5 gu4shi5 shi4 zhen1 de5 ma5	Is that story true? 
这是去火车站的路吗?	zhe4 shi4 qu4huo3 che1zhan4 de5 lu4 ma5	Is this the way to the station? 
再好我也不买。	zai4hao3 wo3 ye3 bu4 mai3。	I wouldn't buy it no matter how good it is. 
我是昨天买的。	wo3 shi4 zuo2tian1 mai3 de5。	It was yesterday that I bought it. 
我买的书	wo3 mai3 de5 shu1	the book I bought 
小猫	xiao3mao1	kitten; kitty 
那没关系。	na4 mei2 guan1xi5。	That doesn't matter. 
你在那个医院有关系没有?	ni3 zai4 na4ge5 yi1yuan4 you3 guan1xi5 mei2you3	Do you know anyone in that hospital? 
我们从来没有红过脸。	wo3men5 cong2lai2 mei2you3 hong2 guo4 lian3。	There has never been a cross word between us. 
他没有参加会议。	ta1 mei2you3 can1jia1 hui4yi4。	He didn't attend the meeting. 
会议还没有结束。	hui4yi4 hai2 mei2you3 jie2shu4。	The meeting hasn't ended yet. 
我没有你高。	wo3 mei2you3 ni3 gao1。	I'm not as tall as you. 
这没有什么奇怪的。	zhe4 mei2you3 shen2me5 qi2guai4 de5。	There is nothing strange about it. 
两个朋友很久没有往来了。	liang3 ge4 peng2you5 hen3 jiu3 mei2you3 wang3lai2 le5。	The two friends haven't had any contact for a long time. 
牛奶没有了。	niu2nai3 mei2you3 le5。	We're out of milk. 
哭是没有用的。	ku1 shi4 mei2you3 yong4 de5。	Tears won't do you any good. 
我现在一下想不起来他的名字。	wo3 xian4zai4 yi2xia4 xiang3bu5qi3 lai2 ta1 de5 ming2zi5。	For the moment I can't recall his name. 
谢谢您哪。	xie4xie5 nin2na5。	Thank you. 
不知道哪儿出差错了。	bu4zhi1dao4 na3r5 chu1chai1 cuo4le5。	I don't know what went wrong. 
哪儿是出口?	na3r5 shi4 chu1kou3	Where is the exit? 
您是哪儿?	nin2 shi4 na3r5	Where are you calling from? (on telephone) 
哪儿好哪儿坏, 我不知道。	na3r5 hao3 na3r5 huai4, wo3 bu4zhi1dao4。	I don't know which is good and which is bad. 
我哪儿都找了。	wo3 na3r5 dou1 zhao3 le5。	I looked everywhere. 
请问洗手间在哪儿?	qing3wen4 xi3shou3jian1 zai4 na3r5	Where is the bathroom, please? 
你住哪儿?	ni3 zhu4 na3r5	Where do you live? 
你站在哪一边?	ni3 zhan4 zai4 na3 yi4bian1	Which side are you on? 
你是哪儿的人?	ni3 shi4 na3r5 de5 ren2	Where are you from? 
火车站在哪儿?	huo3che1zhan4 zai4 na3r5	Where is the railroad station? 
班上其他同学哪儿去了?	ban1 shang4 qi2ta1 tong2xue2 na3r5 qu4le5	Where's the rest of the class? 
你哪儿不舒服?	ni3 na3r5 bu4 shu1fu5	What's the trouble? 
不知道他在哪儿。	bu4zhi1dao4 ta1 zai4 na3r5。	His whereabouts are unknown. 
那个人很难说话!	na4 ge4ren2 hen3 nan2 shuo1hua4	That person is very difficult to deal with. 
我不认识那个字。	wo3 bu4 ren4shi5 na4ge5 zi4。	I don't know that character. 
那个人很阴。	na4 ge4ren2 hen3 yin1。	That person is very sinister. 
我喜欢听那个老人讲故事。	wo3 xi3huan5 ting1 na4ge5 lao3ren2 jiang3 gu4shi5。	I love hearing the old man spinning yarns. 
那个男的是谁?	na4ge5 nan2de5 shi4 shui2	Who is that man? 
那些是他的。	na4xie1 shi4 ta1 de5。	Those are mine. 
那些苹果不甜。	na4xie1 ping2guo3 bu4 tian2。	Those apples are not sweet. 
那是个小差错。	na4shi5 ge4 xiao3 cha1cuo4。	That error is a minor goof. 
那是什么意思?	na4shi5 shen2me5 yi4si5	What does that mean? 
那次长时间的运动把我给累坏了。	na4 ci4zhang3 shi2jian1 de5 yun4dong5 ba3 wo3 gei3 lei4huai4 le5。	I'm zapped after that long workout. 
为什么呢?	wei4shen2me5 ne5	Why is that? 
我呢, 我不要。	wo3 ne5, wo3 bu2yao4。	As for me, I don't want it. 
我的书呢?	wo3 de5 shu1 ne5	Where is my book? 
你的意思呢?	ni3 de5 yi4si5 ne5	What's your opinion? 
他昨天还好好的呢。	ta1 zuo2tian1 hai2hao3 hao3 de5 ne5。	He was perfectly well yesterday. 
你怎么解决这个问题呢?	ni3 zen3me5 jie3jue2 zhe4ge5 wen4ti2 ne5	What's your approach to this problem? 
你在找什么呢?	ni3 zai4 zhao3 shen2me5 ne5	What are you searching for? 
我不能再跑步了。	wo3 bu4neng2 zai4 pao3bu4 le5。	I can no longer jog. 
你最快什么时候能到?	ni3 zui4 kuai4 shen2me5 shi2hou5 neng2 dao4	How soon can you come? 
可能要下雪。	ke3neng2 yao4 xia4 xue3。	It's going to snow. 
他画的画不能跟我的比。	ta1 hua4 de5 hua4 bu4neng2 gen1 wo3 de5 bi3。	His painting cannot compare with mine. 
我去机场接你。	wo3 qu4 ji1chang3 jie1 ni3。	I'll pick you up at the airport. 
你一知道就告诉我。	ni3 yi1 zhi1dao5 jiu4 gao4su5 wo3。	Let me know as soon as you find out. 
我们试用你一个星期。	wo3men5 shi4yong4 ni3 yi1 ge4 xing1qi1。	We'll hire you for a week's trial. 
我非常清楚你为什么迟到。	wo3 fei1chang2 qing1chu5 ni3 wei4shen2me5 chi2dao4。	I know full well why you were late. 
你为什么跟他生气?	ni3 wei4shen2me5 gen1 ta1 sheng1qi4	Why are you sore at him? 
你为什么哭?	ni3 wei4shen2me5 ku1	Why are you crying? 
你先做。	ni3 xian1 zuo4。	You go first. 
你去我就去。	ni3 qu4 wo3 jiu4 qu4。	I'll go only if you go. 
我跟你去。	wo3 gen1 ni3 qu4。	I'll go with you. 
你在笑什么?	ni3 zai4 xiao4 shen2me5	What are you smiling about? 
你姓什么?	ni3 xing4 shen2me5	What's your family name? 
他把朋友出卖了。	ta1 ba3 peng2you5 chu1mai4 le5。	He betrayed his friends. 
我有好多朋友。	wo3 you3 hao3 duo1 peng2you5。	I have a lot of friends. 
他把你看做朋友。	ta1 ba3 ni3 kan4zuo4 peng2you5。	He considers you a friend. 
我有好些个朋友。	wo3 you3 hao3xie1ge5 peng2you5。	He has a good many friends. 
她是我的新女朋友。	ta1 shi4 wo3 de5 xin1 nü3peng2you5。	She's my new date. 
请把我介绍给你的朋友。	qing3 ba3 wo3 jie4shao4 gei3 ni3 de5 peng2you5。	Please introduce me to your friend. 
谢谢您对我朋友的照顾。	xie4xie5 nin2 dui4 wo3 peng2you5 de5 zhao4gu5。	Thank you for your kindness to my friend. 
这个城市真漂亮。	zhe4ge5 cheng2shi4 zhen1 piao4liang5。	This city is so beautiful. 
他就会说漂亮话。	ta1jiu4 hui4shuo1 piao4liang5hua4。	All he can do is to produce high-sounding verbiage. 
她长得越发漂亮。	ta1 zhang3 de5 yue4fa1 piao4liang5。	She's growing prettier and prettier. 
她长得很漂亮。	ta1 zhang3 de5 hen3 piao4liang5。	She is/looks very pretty. 
这个苹果坏了。	zhe4ge5 ping2guo3 huai4 le5。	The apple has gone bad. 
一百一十七	yi1bai3yi1 shi2qi1	one hundred seventeen 
七三开	qi1 san1 kai1	7:3 
我前面还有三个人。	wo3 qian2mian5 hai2 you3 san1 ge4ren2。	There are three people in front of me. 
你在前面带路。	ni3 zai4 qian2mian5 dai4lu4。	You lead the way. 
三角钱	san1jiao3 qian2	thirty cents 
跟他要钱	gen1 ta1 yao4qian2	ask him for money 
我不短他的钱。	wo3 bu4 duan3 ta1 de5 qian2。	I don't owe him any money. 
给我点钱。	gei3 wo3 dian3 qian2。	Give me a little money. 
我突然想起来我忘记带钱包了。	wo3 tu1ran2 xiang3qi3lai2 wo3 wang4ji4 dai4 qian2bao1 le5。	I suddenly remember that I forgot my wallet. 
钱包在这里。	qian2bao1 zai4 zhe4li5。	The purse is here. 
这些钱是给你零花的。	zhe4xie1 qian2 shi4 gei3 ni3 ling2hua1 de5。	The money here is for your incidental expenses. 
他十分有钱。	ta1 shi2fen1 you3qian2。	He has quite a lot of money. 
我只请了一位客人。	wo3 zhi3 qing3 le5 yi1 wei4 ke4ren5。	I invited only one guest. 
他好说话。去请他帮忙。	ta1 hao3 shuo1hua4。 qu4 qing3 ta1 bang1mang2。	He is always ready to lend a hand. Go and ask him for help. 
请他进来。	qing3 ta1 jin4lai5。	Ask him in. 
有问题可以向他请教。	you3 wen4ti2 ke3yi3 xiang4 ta1 qing3jiao4。	You can seek advice from him if you have any questions. 
请问您贵姓?	qing3wen4 nin2 gui4xing4	May I ask your (family) name please? 
请带上护照。	qing3 dai4shang5 hu4zhao4。	Please bring your passport with you. 
我们还是要去。	wo3men5 hai2shi5 yao4 qu4。	We're going just the same. 
晚上别出去。	wan3shang5 bie2chu1 qu4。	Please don't go out at night. 
我走路去上班。	wo3 zou3lu4 qu4 shang4ban1。	I walk to work. 
这是我第一次去中国。	zhe4 shi4 wo3 di4 yi1ci4 qu4 Zhong1guo2。	This is my first trip to China. 
一个星期过去了。	yi1 ge4 xing1qi1 guo4qu4le5。	A week has passed. 
别为了我去做。	bie2 wei4le5 wo3 qu4 zuo4。	Please don't do it on my behalf. 
她的故事听上去像是真的。	ta1 de5 gu4shi5 ting1 shang4qu5 xiang4 shi4 zhen1 de5。	Her story sounds genuine. 
他去出短差了。	ta1 qu4 chu1 duan3 cha1 le5。	He's away on a short journey. 
天气是热。	tian1qi4 shi4 re4。	It sure is hot. 
天气越来越热了。	tian1qi4 yue4lai2yue4 re4 le5。	The weather is getting hotter and hotter. 
我不认识这个字。	wo3 bu4 ren4shi5 zhe4ge5 zi4。	I don't know this character. 
一百一十三	yi1bai3yi1 shi2san1	one hundred thirteen 
差三个人	cha1 san1 ge4ren2	Three more people are needed. 
看人矮三分	kan4ren2 ai3 san1fen1	look down on others 
三十点五	san1shi2 dian3 wu3	thirty point five (30.5) 
三十来岁	san1shi2 lai2sui4	over 30 years old 
三十有零	san1shi2 you3ling2	thirty-odd 
三点	san1dian3	three o'clock 
你往东走三里就到了。	ni3 wang3 dong1 zou3 san1 li3 jiu4 dao4liao3。	Go east three miles and you'll be there. 
把盘子放在桌子上。	ba3 pan2zi5 fang4 zai4 zhuo1zi5 shang4。	Set the tray on the table. 
他换上了干净衣服。	ta1 huan4shang4 le5 gan1jing4 yi1fu5。	He changed into clean clothes. 
楼上的房间	lou2shang4 de5 fang2jian1	the room above 
我喜欢水上运动。	wo3 xi3huan5 shui3shang4 yun4dong4。	I like aquatic sports. 
你只给了我很少一点儿。	ni3 zhi3 gei3 le5 wo3 hen3 shao3 yi4dian3r5。	You just gave a little bit to me. 
谁对, 我就向着谁。	shui2 dui4, wo3 jiu4 xiang4zhe5 shui2。	I'll side with whoever's right. 
这是谁做的决定?	zhe4 shi4 shui2 zuo4 de5 jue2ding4	Who made the decision? 
谁最后走?	shui2 zui4hou4 zou3	Who leaves last? 
谁来了?	shui2 lai2 le5	Who came? 
这是谁的错?	zhe4 shi4 shui2 de5 cuo4	Whose mistake is it? 
谁给你带孩子?	shui2 gei3 ni3 dai4 hai2zi5	Who looks after your children? 
谁让你来的?	shui2 rang4 ni3 lai2 de5	Who told you to come? 
谁把书拿走了?	shui2 ba3 shu1 na2 zou3 le5	Who took the book? 
谁跟你说的?	shui2 gen1 ni3 shuo1 de5	Who told you that? 
啊? 你说什么?	a5 ni3 shuo1 shen2me5	Huh, what did you say? 
有什么不得了的?	you3 shen2me5 bu4de2liao3 de5	What's so serious? 
出什么问题了?	chu1 shen2me5 wen4ti2 le5	What's wrong? 
你为什么不开口?	ni3 wei4shen2me5 bu4 kai1kou3	Why don't you speak? 
我为什么去不得?	wo3 wei4shen2me5 qu4bu5de5	Why shouldn't I go? 
你在说什么?	ni3 zai4 shuo1 shen2me5	What are you talking about? 
他什么都不要。	ta1 shen2me5 dou1 bu2yao4。	He doesn't want anything. 
你为什么不说话。	ni3 wei4shen2me5 bu4 shuo1hua4。	Why don't you speak? 
出了什么问题?	chu1 le5 shen2me5 wen4ti2	What's the matter? 
你什么时候能做完作业?	ni3 shen2me5 shi2hou5 neng2 zuo4wan2 zuo4ye4	When will you be able to finish your assignment? 
我还有什么选择?	wo3 hai2 you3 shen2me5 xuan3ze2	What's my alternative? 
我不明白他为什么生气。	wo3 bu4 ming2bai5 ta1 wei4shen2me5 sheng1qi4。	Why he became upset is beyond me. 
他在哭什么?	ta1 zai4 ku1 shen2me5	What is he blubbering about? 
他是做什么的?	ta1 shi4 zuo4 shen2me5de5	What's his calling? 
这条小船是用什么做的?	zhe4 tiao2 xiao3chuan2 shi4 yong4 shen2me5 zuo4 de5	What's the craft made of ? 
我什么地方做错了?	wo3 shen2me5 di4fang5 zuo4cuo4 le5	What did I do wrong? 
啊,你说什么?	a5, ni3 shuo1 shen2me5	Huh, what did you say? 
你有什么打算?	ni3 you3 shen2me5 da3suan4	What do you intend to do? 
我们有些什么选择?	wo3men5 you3xie1 shen2me5 xuan3ze2	What are our options? 
你要说的是什么?	ni3 yao4shuo1 de5 shi4 shen2me5	What's your point? 
忙什么?	mang2 shen2me5	What's the rush? 
他要什么?	ta1 yao4 shen2me5	What does he want? 
你说什么?	ni3 shuo1 shen2me5	What did you say? 
有什么用?	you3 shen2me5 yong4	What's the use? 
一百一十一	yi1bai3yi1 shi2yi1	one hundred eleven 
一百一十五	yi1bai3yi1 shi2wu3	one hundred fifteen 
我到的时候他已经走了。	wo3 dao4 de5 shi2hou5 ta1 yi3jing1 zou3 le5。	He'd left by the time I arrived. 
书上	shu1 shang4	on the book 
我要把这些书送还给他。	wo3 yao4 ba3 zhe4xie1 shu1 song4 huan2gei3 ta1。	I need to return these books to him. 
历史书	li4 shi3shu1	a book of history 
我在写书。	wo3 zai4 xie3 shu1。	I'm working on a book. 
多么新鲜的水果啊!	duo1me5 xin1xian1 de5 shui3guo3 a5	How fresh the fruit is! 
这里水果有的是。	zhe4li5 shui3guo3 you3de5shi4。	There's a lot of fruit here. 
别跟别人说。	bie2 gen1 bie2ren5 shuo1。	This is just between you and me. 
他只听不说。	ta1 zhi3 ting1 bu4 shuo1。	He listened without speaking. 
他说出了自己的担心。	ta1 shuo1chu1 le5 zi4ji3 de5 dan1xin1。	He unbosomed himself of his worries. 
我同意你说的。	wo3 tong2yi4 ni3 shuo1 de5。	I agree with you. 
一百一十四	yi1bai3yi1 shi2si4	one hundred fourteen 
四下里都同意了。	si4xia4li5 dou1 tong2yi4 le5。	The four sides have all agreed. 
我们一共只有四个人。	wo3men5 yi2gong4 zhi3you3 si4 ge4ren2。	There are only four of us altogether. 
她比我小四岁。	ta1 bi3 wo3 xiao3 si4 sui4。	She's four years younger than I. 
昨天四点我在游泳。	zuo2tian1 si4 dian3 wo3 zai4 you2yong3。	I was swimming at four yesterday. 
他是上了年岁的人。	ta1 shi4 shang4 le5 nian2sui4 de5 ren2。	He's getting on in years. 
她哭啊哭啊。	ta1 ku1 a5 ku1 a5。	She cried on and on. 
她选择不结婚。	ta1 xuan3ze2 bu4 jie2hun1。	She chose not to marry. 
裤子太瘦了。	ku4zi5 tai4 shou4 le5。	The pants are too tight. 
好是好, 但是太贵了。	hao3shi4hao3, dan4shi4 tai4 gui4 le5。	It's good all right, but it's too expensive. 
你太过分了!	ni3 tai4 guo4fen4 le5	What you've done is too much! 
让我一五一十地讲给你听。	rang4 wo3 yi1wu3-yi1shi2 di4 jiang3gei3 ni3 ting1。	Let me tell you about it in full detail. 
这孩子! 你越是说, 他越是不听。	zhe4 hai2zi5 ni3 yue4shi4 shuo1, ta1 yue4shi4 bu4 ting1。	This child! The more you scold him, the less he obeys. 
我听不懂。	wo3 ting1bu5dong3。	I can't understand. 
听不懂	ting1bu5dong3	don't understand (by listening) 
我听不清楚。	wo3 ting1 bu5 qing1chu5。	I can't hear clearly. 
别听差了。	bie2 ting1chai1 le5。	Don't get me wrong. 
听着!	ting1zhe5	Listen to me! 
我听说他快要来了。	wo3 ting1shuo1 ta1 kuai4yao4 lai2 le5。	I've heard that he'll be arriving shortly. 
我喜欢听爷爷讲的故事。	wo3 xi3huan5 ting1 ye2ye5 jiang3 de5 gu4shi5。	I love listening to grandpa's yarns. 
我们是同学。	wo3men5 shi4 tong2xue2。	We are schoolmates. 
喂孩子	wei4 hai2zi5	spoon feed the child 
我们现在就走。	wo3men5 xian4zai4 jiu4 zou3。	We're leaving just now. 
我们非常关心环境问题。	wo3men5 fei1chang2 guan1xin1 huan2jing4 wen4ti2。	We have a keen interest in environmental problems. 
我们住在附近。	wo3men5 zhu4 zai4 fu4jin4。	We live nearby. 
我们走了。	wo3men5 zou3 le5。	We're off. 
我们得分第一。	wo3men5 de2fen1 di4-yi1。	We scored first. 
我们先得分。	wo3men5 xian1 de2fen1。	We scored first. 
让司机等我们。	rang4 si1ji1 deng3 wo3men5。	Tell the driver to wait for us. 
我们可以试试。	wo3men5 ke3yi3 shi4shi4。	We can try. 
我们必须特别小心。	wo3men5 bi4xu1 te4bie2 xiao3xin1。	We must utilize the utmost caution. 
他是我们班最差的学生。	ta1 shi4 wo3men5 ban1 zui4 cha1 de5 xue2sheng5。	He's the worst student in our class. 
我不怎么喜欢他。	wo3 bu4zen3me5 xi3huan5 ta1。	I don't particularly like him. 
他很喜欢水上运动。	ta1 hen3 xi3huan5 shui3shang4 yun4dong4。	He loves aquatic sports. 
我向来不喜欢跳舞。	wo3 xiang4lai2 bu4 xi3huan5 tiao4wu3。	I've never liked dancing. 
我特别喜欢这个地方。	wo3 te4bie2 xi3huan5 zhe4ge5 di4fang5。	I adore the place. 
我不喜欢体育运动。	wo3 bu4 xi3huan5 ti3yu4 yun4dong4。	I do not like sports. 
我喜欢游泳。	wo3 xi3huan5 you2yong3。	I enjoy swimming. 
我喜欢骑马。	wo3 xi3huan5 qi2 ma3。	I love to ride horses. 
让你的眼睛休息一下。	rang4 ni3 de5 yan3jing5 xiu1xi5 yi2xia4。	Rest your eyes a while. 
我想(是)不会下雨的。	wo3 xiang3( shi4) bu4hui4 xia4 yu3 de5。	I think it's unlikely to rain. 
看来要下雨了。	kan4lai2 yao4 xia4 yu3 le5。	It looks as if it's going to rain. 
快走把, 要下雨了。	kuai4zou3 ba3, yao4 xia4 yu3 le5。	Hurry up. It's about to rain. 
要是下雨我们就不去游泳了。	yao4shi4 xia4 yu3 wo3men5 jiu4 bu4 qu4 you2yong3 le5。	If it rains, we won't go swimming. 
你真是个好好先生。	ni3 zhen1shi5 ge4 hao3hao3xian1sheng1。	You're really someone who tries to please everybody. 
这位老先生身体很好。	zhe4 wei4 lao3 xian1sheng5 shen1ti3 hen3 hao3。	The old gentleman is in very good health. 
他现在好多了。	ta1 xian4zai4 hao3 duo1 le5。	He is much better now. 
现在你满意了吧。	xian4zai4 ni3 man3yi4 le5 ba5。	Now you must be satisfied. 
你现在可以走了。	ni3 xian4zai4 ke3yi3 zou3 le5。	You can go now. 
我现在得走了。	wo3 xian4zai4 de5 zou3 le5。	I must leave now. 
不想, 他已经先到了。	bu4xiang3, ta1 yi3jing1 xian1dao4 le5。	Unexpectedly, he arrived before us. 
让我们再好好想想。	rang4 wo3men5 zai4hao3 hao3 xiang3xiang5。	Let's think it over again carefully. 
往开里想。	wang3 kai1li3 xiang3。	Think of the bright side; don't be sad. 
不要只为自己着想。	bu2yao4 zhi3wei4 zi4ji3 zhuo2xiang3。	Don't only consider yourself. 
我会想出办法来的。	wo3 hui4 xiang3chu1 ban4fa3 lai2 de5。	I'll be able to think of a way. 
我想来想去, 觉得还是应该去。	wo3 xiang3lai2xiang3qu4, jue2de5 hai2shi5 ying1gai1 qu4。	I mulled it over and decided that I should go. 
他终于想开了。	ta1 zhong1yu2 xiang3kai1 le5。	He has finally become resigned to misfortune. 
他想换换环境。	ta1 xiang3 huan4 huan4 huan2jing4。	He wanted to have a change of environment. 
我想方便一下。	wo3 xiang3 fang1bian4 yi2xia4。	I'd like to use the lavatory. 
想来/说来好笑	xiang3lai2 shuo1lai2 hao3xiao4	funny to think/speak of 
让我想想。	rang4 wo3 xiang3xiang5。	Let me see. 
我想你是对的。	wo3 xiang3 ni3 shi4 dui4 de5。	I guess you're right. 
